date,fnsku,asin,msku,title,event_type,reference_id,quantity,fulfillment_center,disposition,reason,country,reconciled_quantity,unreconciled_quantity,date_and_time,reason_descripcion,reason_categoria
2025-07-08 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-08 00:00:00+00:00,Otro,Otro
2025-07-08 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-08 00:00:00+00:00,Otro,Otro
2025-07-08 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-08 00:00:00+00:00,Otro,Otro
2025-07-08 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-08 00:00:00+00:00,Otro,Otro
2025-07-08 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-08 00:00:00+00:00,Otro,Otro
2025-07-08 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-08 00:00:00+00:00,Otro,Otro
2025-07-08 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-08 00:00:00+00:00,Otro,Otro
2025-07-08 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-08 00:00:00+00:00,Otro,Otro
2025-07-08 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-07-08 00:00:00+00:00,Otro,Otro
2025-07-08 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-07-08 00:00:00+00:00,Otro,Otro
2025-07-08 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-07-08 00:00:00+00:00,Otro,Otro
2025-07-08 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-08 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X0029D6HAL,B0F1F2KX6J,29PSIX4_CB,TUBOPLUS 29PSI X4e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,Shipments,No reference ID,-1,BCN4,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X0029D5M9D,B0F1F1D2PR,29PSIX4_SB,TUBOPLUS 29PSI X4e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida),Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X0029D24LR,B0F1F2PQPK,29PSIX3_CB_2,TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,WhseTransfers,No reference ID,1,MAD7,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X0029D24LR,B0F1F2PQPK,29PSIX3_CB_2,TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X0029D24LR,B0F1F2PQPK,29PSIX3_CB_2,TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,WhseTransfers,No reference ID,-1,MAD4,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X0029D24LR,B0F1F2PQPK,29PSIX3_CB_2,TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X0029D0DRJ,B0F1F4FM85,29PSIX3_SB,TUBOPLUS 29PSI X3e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida),CustomerReturns,No reference ID,1,MAD4,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X00231GYQL,B0D87X42RN,4R-VSV0-WZ9Z,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X00231GYQL,B0D87X42RN,4R-VSV0-WZ9Z,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X00231GYQL,B0D87X42RN,4R-VSV0-WZ9Z,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,WhseTransfers,No reference ID,-1,BTS2,CUSTOMER_DAMAGED,0,SK,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-07 00:00:00+00:00,X000GERVU5,B0183RZ2VI,IB-IKLG-TV8H,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-07 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X0029D24LR,B0F1F2PQPK,29PSIX3_CB_2,TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,CustomerReturns,No reference ID,1,MAD4,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,BCN1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
2025-07-06 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-06 00:00:00+00:00,Otro,Otro
